description,price,rating,review_count,url
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octacore Helio G25 Processor | 5000 mAh Battery","6,999",4.2 out of 5 stars,"40,778",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_1?dchild=1&keywords=phones&qid=1621697193&sr=8-1
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","8,799",4.2 out of 5 stars,"36,133",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_2?dchild=1&keywords=phones&qid=1621697193&sr=8-2
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","14,999",4.3 out of 5 stars,"180,396",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_3?dchild=1&keywords=phones&qid=1621697193&sr=8-3
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",4.3 out of 5 stars,"56,693",https://www.amazon.in/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_4?dchild=1&keywords=phones&qid=1621697193&sr=8-4
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",4.2 out of 5 stars,"11,240",https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_5?dchild=1&keywords=phones&qid=1621697193&sr=8-5
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","14,999",4.3 out of 5 stars,"180,396",https://www.amazon.in/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_6?dchild=1&keywords=phones&qid=1621697193&sr=8-6
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","5,000",3.0 out of 5 stars,"3,105",https://www.amazon.in/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_7?dchild=1&keywords=phones&qid=1621697193&sr=8-7
"Vivo Y11 (Mineral Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,990",4.3 out of 5 stars,"1,698",https://www.amazon.in/Vivo-Mineral-Storage-Additional-Exchange/dp/B07XD2FWBC/ref=sr_1_8?dchild=1&keywords=phones&qid=1621697193&sr=8-8
Redmi 9A(Midnight Black 3GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"7,499",4.2 out of 5 stars,"40,778",https://www.amazon.in/Redmi-9A-Midnight-3GB-32GB/dp/B08697KLZP/ref=sr_1_9?dchild=1&keywords=phones&qid=1621697193&sr=8-9
"Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage)","14,499",4.0 out of 5 stars,"17,944",https://www.amazon.in/Test-Exclusive_2020_1142-Multi-3GB-Storage/dp/B089MS8NWG/ref=sr_1_10?dchild=1&keywords=phones&qid=1621697193&sr=8-10
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","10,000",4.3 out of 5 stars,"37,950",https://www.amazon.in/Redmi-Prime-Sunrise-Storage-Display/dp/B08697WT79/ref=sr_1_11?dchild=1&keywords=phones&qid=1621697193&sr=8-11
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","6,199",3.7 out of 5 stars,"18,315",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_12?dchild=1&keywords=phones&qid=1621697193&sr=8-12
Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"7,499",4.2 out of 5 stars,"40,778",https://www.amazon.in/Redmi-9A-3GB-32GB-Storage/dp/B086973W9M/ref=sr_1_13?dchild=1&keywords=phones&qid=1621697193&sr=8-13
"Vivo Y11 (Agate Red, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,990",4.3 out of 5 stars,"1,698",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07X9YNV63/ref=sr_1_14?dchild=1&keywords=phones&qid=1621697193&sr=8-14
"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","12,999",4.2 out of 5 stars,"26,989",https://www.amazon.in/Test-Exclusive_2020_1138-Multi-3GB-Storage/dp/B089MTR9JW/ref=sr_1_15?dchild=1&keywords=phones&qid=1621697193&sr=8-15
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","9,999",4.0 out of 5 stars,"11,644",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_16?dchild=1&keywords=phones&qid=1621697193&sr=8-16
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,490",4.1 out of 5 stars,"3,811",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_17?dchild=1&keywords=phones&qid=1621697197&sr=8-17
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","12,499",4.2 out of 5 stars,"129,025",https://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_18?dchild=1&keywords=phones&qid=1621697197&sr=8-18
